name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,785.1615259,865.5924812,762.7253617,776.934749,826.952081,890.9533599,923.7288675,1010.819221,864.1994597,1149.536096,989.2001485,966.6832838,1000.122013,1018.263142,916.5551906,963.9271695,921.893044,927.7445187,896.4377624,813.2556955,572.781844,418.2866298,412.3788805,441.2492954,417.034843,447.8488703,384.5949583,417.5213279,561.8011321,570.8454474,582.5915724,645.0801538,648.1683871,715.4144831,719.5843781,689.3004521,679.8617651,697.0041197,722.5838671,724.5629194,770.3402667,715.2562895,,,
Algeria,,,,,,,,,,,,231.5798994,261.4652508,305.1273352,319.2224366,330.3970687,366.5219605,398.6561135,476.7782334,586.3413003,579.4513139,610.834507,771.2354976,807.8431007,776.3374448,786.3259037,862.4140086,827.5525068,849.7070918,820.3105108,856.2493951,883.8218039,887.2843933,867.6831122,819.3650909,833.4118107,798.2254017,804.9412406,820.3771779,863.7898346,865.7700774,856.9841648,899.4265371,947.6039212,943.8302599,971.9478727,1026.91378,1073.864898,1075.079215,1153.133867,1113.162255,1139.849294,1237.340411,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,598.1609735,629.3019344,611.9342865,609.474578,579.8115018,557.921712,535.2524622,572.3569318,563.0957432,555.6605922,540.5029448,514.4159343,510.1213706,498.1260822,512.0682378,503.5752267,502.5984589,510.1505903,508.213295,528.686622,525.1002578,511.2370517,512.2705663,502.7825076,490.6141888,493.8413667,494.1744842,483.2027156,496.3017694,497.9630296,506.4784331,515.4034564,539.4461038,539.7586077,509.9234397,542.1086692,561.5501055,589.4201217,620.6387463,639.2282471,630.4916313,629.5696324,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596.412496,,,,,,,,,,,,,,1652.02281,1659.298734,1713.251944,1729.91931,,,,,,,,
Arab World,,,,,,,,,,,,410.0030865,412.5715055,443.0553984,460.0618989,484.5562879,525.4938432,561.888128,627.6099922,729.1249945,791.2868557,883.7400335,954.7950926,999.4688604,990.6871108,1011.727439,1033.784432,1087.397469,1149.047541,1175.711467,1077.859905,1093.650565,1149.072132,1180.72975,1212.261225,1268.895033,1295.360451,1302.966591,1301.236442,1285.480921,1295.753672,1337.197219,1395.469588,1392.607691,1434.840671,1482.943677,1534.620954,1574.790869,1668.659911,1715.097489,1786.126353,1747.429223,1843.498772,,,
Argentina,,,,,,,,,,,,1381.201367,1379.946939,1412.012697,1415.638009,1379.071373,1404.470753,1421.378379,1426.080392,1485.016831,1487.936176,1430.676816,1416.598213,1419.047373,1448.123849,1360.400274,1421.956084,1477.064877,1505.28768,1441.482355,1407.701803,1430.622897,1484.355663,1469.095754,1542.945081,1545.550287,1582.90725,1614.298027,1650.918567,1660.515453,1661.661097,1563.004985,1502.402133,1589.541099,1717.983821,1710.876254,1841.985806,1840.660284,1924.259779,1852.375034,1910.008945,1918.749947,1906.054782,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2174.534057,2313.522378,1197.449077,650.6666967,419.0206335,510.2484415,561.2390398,593.385436,609.1591984,592.620773,654.920617,655.4645109,615.7612981,652.4845048,692.2562659,833.2925915,852.2494297,954.7303536,1009.769317,879.9470552,837.9535522,915.0645691,997.4153379,,,
