name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2542.8,,,,,,,,,,2608.4,,,,,2477.1,,,2516.7,,2592.7,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31212.6,,,,,,,,,,43796.6,,,,,45612,,,46328.8,,47661.8,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22056.6,,,,,,,,,,15758.6,,,,,16358.7,,,17292.8,,18596.5,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231232.3,,,,,,,,,,314570.2,,,,,363579.8,,,420722.3,,437574,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102023.6,,,,,,,,,,99132.5,,,,,99955.9,,,97702.1,,86733.7,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890.7,,,,,,,,,,2565.3,,,,,2960.3,,,3234.9,,3328.7,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115047.6,,,,,,,,,,127729.8,,,,,122047.6,,,122156.8,,122548.9,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10026.5,,,,,,,,,,8972.4,,,,,8447.3,,,8294.2,,8391.4,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11418.2,,,,,,,,,,9950.9,,,,,12096.3,,,16939.1,,18400.5,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1785.5,,,,,,,,,,2366.2,,,,,2762,,,3176.4,,3312.3,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87089.5,,,,,,,,,,89243.3,,,,,94194,,,97828.3,,103079.7,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18657.1,,,,,,,,,,13323.4,,,,,14046.4,,,15344.2,,16436.1,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12440.1,,,,,,,,,,11049,,,,,9603.3,,,9515.5,,9632.5,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
