name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276.4,,,,,,,,,,1270.7,,,,,1039.6,,,1121.4,,1123.6,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3867.6,,,,,,,,,,4507.1,,,,,4917,,,5687.2,,6256.9,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17734.2,,,,,,,,,,3005.3,,,,,3056.7,,,3307,,3569.8,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78023.4,,,,,,,,,,97396.6,,,,,108412.5,,,154468.5,,150727.1,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38453.2,,,,,,,,,,41951.9,,,,,49956.6,,,54015.7,,52061.4,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805,,,,,,,,,,461.6,,,,,583.5,,,731.4,,985.9,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63067.1,,,,,,,,,,75583.7,,,,,63037.7,,,58046.7,,51461.8,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5086.3,,,,,,,,,,4792,,,,,4224.7,,,4196.1,,3758.7,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2665.8,,,,,,,,,,2031.7,,,,,2599.6,,,2622.4,,2646.6,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.2,,,,,,,,,,88.2,,,,,112.9,,,116.7,,128.6,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15150.6,,,,,,,,,,19614.2,,,,,21486.7,,,22348.4,,26159.6,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16372.3,,,,,,,,,,10795.9,,,,,11890.2,,,12549.9,,13445.7,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9037.7,,,,,,,,,,9844.1,,,,,8808.6,,,9028.7,,10126.8,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3732.5,,,,,,,,,,3347.2,,,,,2920.4,,,5136,,4771.1,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bolivia, Plurinational State of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14611.6,,,,,,,,,,11334.1,,,,,15279.5,,,8773,,9543.7,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.6,,,,,,,,,,1744.9,,,,,1032.3,,,1077.6,,1101.5,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5394.5,,,,,,,,,,2523.6,,,,,3096.5,,,1998.1,,2184.8,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155788,,,,,,,,,,167644.1,,,,,238197.7,,,190763.7,,207575.8,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.1,,,,,,,,,,394.8,,,,,653.7,,,332,,335.6,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9398,,,,,,,,,,4434.2,,,,,3951.9,,,3815.2,,4479.2,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3888.2,,,,,,,,,,3294.8,,,,,6053.5,,,15217.2,,16358.4,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10460.3,,,,,,,,,,10745.8,,,,,9027.2,,,15646.7,,13627.7,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42574.2,,,,,,,,,,40861.6,,,,,40245,,,36627.6,,33009.5,,,,,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.1,,,,,,,,,,867.7,,,,,923.3,,,1003.4,,919.1,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97104.8,,,,,,,,,,73308,,,,,72811.3,,,68901,,65934.2,,,,,
